s,name,cname
http://example.com/heritage/id/106620815w,Stone cross next to the Church of Saint Andrew,Spain
http://example.com/heritage/id/106620816w,"Stone cross, part of the Via Crucis of Bustillo del Páramo de Carrión",Spain
http://example.com/heritage/id/106622585w,Antiguo Ayuntamiento de León,Spain
http://example.com/heritage/id/106627225w,Church of Saint Mary,Spain
http://example.com/heritage/id/106627305w,Church of Saint Christopher,Spain
http://example.com/heritage/id/106627334w,Church of Saint Martin,Spain
http://example.com/heritage/id/106627360w,Fortified house in Lusio,Spain
http://example.com/heritage/id/106627401w,Church of Saint Stephen,Spain
http://example.com/heritage/id/106627423w,Bell Tower of the Old Parrish Church of Calzadilla de la Cueza,Spain
http://example.com/heritage/id/106627435w,Church of Saint Michael and Saint Columba,Spain
http://example.com/heritage/id/106627436w,Old Parish Church of Saint Columba,Spain
http://example.com/heritage/id/106627450w,Church of Saint Martin,Spain
http://example.com/heritage/id/106627451w,Hermitage Tower of Saint Michael,Spain
http://example.com/heritage/id/106627452w,Church of El Salvador,Spain
http://example.com/heritage/id/106627478w,Miranda House,Spain
http://example.com/heritage/id/106627493w,Old Bell Tower of Quintanilla de la Cueza,Spain
http://example.com/heritage/id/106627724w,Church of Saint James the Great,Spain
http://example.com/heritage/id/106627791w,Church of Saint Joseph,Spain
http://example.com/heritage/id/106631628w,Church of Saint James the Great,Spain
http://example.com/heritage/id/106632478w,Church of Saint Thomas the Apostle,Spain
http://example.com/heritage/id/106632479w,Church in San Martín de Fuente,Spain
http://example.com/heritage/id/106634515w,Church of Saint Nicholas in San Nicolás del Real Camino,Spain
http://example.com/heritage/id/106634540w,Church of Our Lady of La Era,Spain
http://example.com/heritage/id/106634564w,Doorway of Saint Thomas Church in Moratinos,Spain
http://example.com/heritage/id/106634733w,Church of Saint Mary,Spain
http://example.com/heritage/id/106634759w,Church of Saint Eulalia,Spain
http://example.com/heritage/id/106634835w,Church of Saint Vincent,Spain
http://example.com/heritage/id/106634854w,Church of Saint Michael,Spain
http://example.com/heritage/id/106634877w,Church of Saint Stephen,Spain
http://example.com/heritage/id/106634894w,Church of Saint Mammes,Spain
http://example.com/heritage/id/106634950w,Church of Saint James the Great,Spain
http://example.com/heritage/id/106634990w,Chapel of Nuestra Señora de los Remedios,Spain
http://example.com/heritage/id/106635102w,Church of the Saviour,Spain
http://example.com/heritage/id/106635144w,Public Fountain of Terradillos de los Templarios,Spain
http://example.com/heritage/id/106635156w,Church of Saint Mary,Spain
http://example.com/heritage/id/106635163w,Church of Saint Vincent,Spain
http://example.com/heritage/id/106635209w,Church of Saint Mammes,Spain
http://example.com/heritage/id/106635216w,Church of Saint Peter,Spain
http://example.com/heritage/id/106636w,Bam,Iran
http://example.com/heritage/id/106639207w,Church of Saint Mary,Spain
http://example.com/heritage/id/106641881w,Church of Saint Julian,Spain
http://example.com/heritage/id/106641947w,Church of Saint John,Spain
http://example.com/heritage/id/106641966w,Church of Saint James the Great,Spain
http://example.com/heritage/id/106641994w,Church of Saint Saturnin,Spain
http://example.com/heritage/id/106642093w,Church of Saint Martin,Spain
http://example.com/heritage/id/106642141w,Church of Saint Julian,Spain
http://example.com/heritage/id/106642186w,Church of Saint Peter,Spain
http://example.com/heritage/id/106642251w,Church of Saint Vincent,Spain
http://example.com/heritage/id/106642435w,Church of Saint Saturnin,Spain
http://example.com/heritage/id/106642630w,Church of Saint Michael,Spain
http://example.com/heritage/id/106650997w,Ayuntamiento de San Marcelo,Spain
http://example.com/heritage/id/106653028w,Manor House in Teivente,Spain
http://example.com/heritage/id/106653769w,Church of Saint Mary,Spain
http://example.com/heritage/id/106653770w,Church of Saint Martin,Spain
http://example.com/heritage/id/106655699w,Church of Saint Martin,Spain
http://example.com/heritage/id/106655702w,Church of Saint Stephen,Spain
http://example.com/heritage/id/106660676w,Church of Saint Peter,Spain
http://example.com/heritage/id/106660678w,Church of Saint Stephen,Spain
http://example.com/heritage/id/106660679w,Church of the Saviour,Spain
http://example.com/heritage/id/106660680w,Church of Saint Julian,Spain
http://example.com/heritage/id/106661851w,Church of Saint James the Great,Spain
http://example.com/heritage/id/106661857w,Church of Saint Mary,Spain
http://example.com/heritage/id/106661860w,Church of Saint Andrew,Spain
http://example.com/heritage/id/106666281w,Casino Recreativo de León,Spain
http://example.com/heritage/id/106675111w,Church of Saint Mary,Spain
http://example.com/heritage/id/106675112w,Church of the Saviour,Spain
http://example.com/heritage/id/106675114w,Church of the Saviour,Spain
http://example.com/heritage/id/106675115w,Church of Saint Michael,Spain
http://example.com/heritage/id/106675116w,Church of Saint Felix,Spain
http://example.com/heritage/id/106675780w,León town hall,Spain
http://example.com/heritage/id/106675969w,Church of Saint Martin,Spain
http://example.com/heritage/id/106675970w,Church of Saint Mary,Spain
http://example.com/heritage/id/106675971w,Church of Saint Antoninus,Spain
http://example.com/heritage/id/106675972w,Chapel of Saint Lazarus,Spain
http://example.com/heritage/id/106676160w,San Antonio Hospital,Spain
http://example.com/heritage/id/106676161w,Church of the Saviour,Spain
http://example.com/heritage/id/106676230w,Convent of La Magdalena,Spain
http://example.com/heritage/id/106679719w,Church of Santa Marina,Spain
http://example.com/heritage/id/106681523w,Church of Saint Peter,Spain
http://example.com/heritage/id/106681524w,Church of Saint James the Great,Spain
http://example.com/heritage/id/106681525w,Church of Saint Julian,Spain
http://example.com/heritage/id/106681526w,Church of Saint Mary,Spain
http://example.com/heritage/id/106686024w,Palace of Tumbiadoiro,Spain
http://example.com/heritage/id/106686025w,Church of Saint Michael,Spain
http://example.com/heritage/id/106686026w,Church of Saint Felix,Spain
http://example.com/heritage/id/106686028w,Church of Saint Mary,Spain
http://example.com/heritage/id/106686070w,Church of the Saviour,Spain
http://example.com/heritage/id/106715344w,Chapel of Saint Anthony,Spain
http://example.com/heritage/id/106715350w,Church of Saint George,Spain
http://example.com/heritage/id/106727292w,Church of Saint James the Great,Spain
http://example.com/heritage/id/106727293w,Church of Saint Vincent,Spain
http://example.com/heritage/id/106739107w,Church of Saint Michael,Spain
http://example.com/heritage/id/106740329w,Church of Saint Julian,Spain
http://example.com/heritage/id/106742109w,Church of Saint Mammet,Spain
http://example.com/heritage/id/106753306w,Church of Saint Mary,Spain
http://example.com/heritage/id/106753307w,Church of Saint Michael,Spain
http://example.com/heritage/id/106753309w,Stately House in Coence,Spain
http://example.com/heritage/id/106756747w,Church of Saint Martin,Spain
http://example.com/heritage/id/106756749w,Church of Saint John,Spain
http://example.com/heritage/id/106756751w,Pazo of Ulloa,Spain
http://example.com/heritage/id/106757836w,Church of Saint Thomas,Spain
http://example.com/heritage/id/106757837w,Church of Saint Martin,Spain
http://example.com/heritage/id/106762537w,Historic Centre of Sheki with the Khan’s Palace,Azerbaijan
http://example.com/heritage/id/106763948w,Church of Saint Marina,Spain
http://example.com/heritage/id/106763974w,Tulla House,Spain
http://example.com/heritage/id/106763975w,Church of Saint James the Great,Spain
http://example.com/heritage/id/106766586w,Church of Saint Mary,Spain
http://example.com/heritage/id/106766594w,San Pedro de Meixide,Spain
http://example.com/heritage/id/106766595w,Church of the Saviour,Spain
http://example.com/heritage/id/106766596w,Church of Saint Felix,Spain
http://example.com/heritage/id/106767063w,"Furelos, Melide",Spain
http://example.com/heritage/id/106767107w,Church of Saint Thyrsus,Spain
http://example.com/heritage/id/106770948w,Church of Saint Mary,Spain
http://example.com/heritage/id/106770949w,Chapel of Our Lady of the Rosary,Spain
http://example.com/heritage/id/106770951w,Pazo de Chorexe,Spain
http://example.com/heritage/id/106770952w,Church of Saint Michael,Spain
http://example.com/heritage/id/106771182w,Church of Saint Cyprian,Spain
